Id	Part2B	Part2T	Part1	Scope	Type	Ref_Name	Comment
mdr	mdr	mdr	  	I	L	Mandar	
men	men	men	  	I	L	Mende (Sierra Leone)	
mga	mga	mga	  	I	H	Middle Irish (900-1200)	
mic	mic	mic	  	I	L	Mi'kmaq	
min	min	min	  	I	L	Minangkabau	
mis	mis	mis	  	S	S	Uncoded languages	
mkd	mac	mkd	mk	I	L	Macedonian	
mlg	mlg	mlg	mg	M	L	Malagasy	
mlt	mlt	mlt	mt	I	L	Maltese	
mnc	mnc	mnc	  	I	L	Manchu	
mni	mni	mni	  	I	L	Manipuri	
moh	moh	moh	  	I	L	Mohawk	
mon	mon	mon	mn	M	L	Mongolian	
mos	mos	mos	  	I	L	Mossi	
mri	mao	mri	mi	I	L	Maori	
msa	may	msa	ms	M	L	Malay (macrolanguage)	
mul	mul	mul	  	S	S	Multiple languages	
mus	mus	mus	  	I	L	Creek	
mwl	mwl	mwl	  	I	L	Mirandese	
mwr	mwr	mwr	  	M	L	Marwari	
mya	bur	mya	my	I	L	Burmese	
myv	myv	myv	  	I	L	Erzya	
nap	nap	nap	  	I	L	Neapolitan	
nau	nau	nau	na	I	L	Nauru	
nav	nav	nav	nv	I	L	Navajo	
nbl	nbl	nbl	nr	I	L	South Ndebele	
nde	nde	nde	nd	I	L	North Ndebele	
ndo	ndo	ndo	ng	I	L	Ndonga	
nds	nds	nds	  	I	L	Low German	
nep	nep	nep	ne	M	L	Nepali (macrolanguage)	
new	new	new	  	I	L	Newari	
nia	nia	nia	  	I	L	Nias	
niu	niu	niu	  	I	L	Niuean	
nld	dut	nld	nl	I	L	Dutch	
nno	nno	nno	nn	I	L	Norwegian Nynorsk	
nob	nob	nob	nb	I	L	Norwegian Bokmål	
nog	nog	nog	  	I	L	Nogai	
non	non	non	  	I	H	Old Norse	
nor	nor	nor	no	M	L	Norwegian	
nqo	nqo	nqo	  	I	L	N'Ko	
nso	nso	nso	  	I	L	Pedi	
nwc	nwc	nwc	  	I	H	Classical Newari	
nya	nya	nya	ny	I	L	Nyanja	
nym	nym	nym	  	I	L	Nyamwezi	
nyn	nyn	nyn	  	I	L	Nyankole	
nyo	nyo	nyo	  	I	L	Nyoro	
nzi	nzi	nzi	  	I	L	Nzima	
oci	oci	oci	oc	I	L	Occitan (post 1500)	
oji	oji	oji	oj	M	L	Ojibwa	
ori	ori	ori	or	M	L	Oriya (macrolanguage)	
orm	orm	orm	om	M	L	Oromo	
osa	osa	osa	  	I	L	Osage	
oss	oss	oss	os	I	L	Ossetian	
ota	ota	ota	  	I	H	Ottoman Turkish (1500-1928)	
pag	pag	pag	  	I	L	Pangasinan	
pal	pal	pal	  	I	A	Pahlavi	
pam	pam	pam	  	I	L	Pampanga	
pan	pan	pan	pa	I	L	Panjabi	
pap	pap	pap	  	I	L	Papiamento	
pau	pau	pau	  	I	L	Palauan	
peo	peo	peo	  	I	H	Old Persian (ca. 600-400 B.C.)	
phn	phn	phn	  	I	A	Phoenician	
pli	pli	pli	pi	I	A	Pali	
pol	pol	pol	pl	I	L	Polish	
pon	pon	pon	  	I	L	Pohnpeian	
por	por	por	pt	I	L	Portuguese	
pro	pro	pro	  	I	H	Old Provençal (to 1500)	
pus	pus	pus	ps	M	L	Pushto	
que	que	que	qu	M	L	Quechua	
raj	raj	raj	  	M	L	Rajasthani	
rap	rap	rap	  	I	L	Rapanui	
rar	rar	rar	  	I	L	Rarotongan	
roh	roh	roh	rm	I	L	Romansh	
rom	rom	rom	  	M	L	Romany	
ron	rum	ron	ro	I	L	Romanian	
run	run	run	rn	I	L	Rundi	
rup	rup	rup	  	I	L	Macedo-Romanian	
rus	rus	rus	ru	I	L	Russian	
sad	sad	sad	  	I	L	Sandawe	
sag	sag	sag	sg	I	L	Sango	
sah	sah	sah	  	I	L	Yakut	
sam	sam	sam	  	I	E	Samaritan Aramaic	
san	san	san	sa	I	A	Sanskrit	
sas	sas	sas	  	I	L	Sasak	
sat	sat	sat	  	I	L	Santali	
scn	scn	scn	  	I	L	Sicilian	
sco	sco	sco	  	I	L	Scots	
sel	sel	sel	  	I	L	Selkup	
sga	sga	sga	  	I	H	Old Irish (to 900)	
shn	shn	shn	  	I	L	Shan	
sid	sid	sid	  	I	L	Sidamo	
sin	sin	sin	si	I	L	Sinhala	
slk	slo	slk	sk	I	L	Slovak	
slv	slv	slv	sl	I	L	Slovenian	
sma	sma	sma	  	I	L	Southern Sami	
sme	sme	sme	se	I	L	Northern Sami	
smj	smj	smj	  	I	L	Lule Sami	
smn	smn	smn	  	I	L	Inari Sami	
smo	smo	smo	sm	I	L	Samoan	
sms	sms	sms	  	I	L	Skolt Sami	
sna	sna	sna	sn	I	L	Shona	
snd	snd	snd	sd	I	L	Sindhi	
snk	snk	snk	  	I	L	Soninke	
sog	sog	sog	  	I	A	Sogdian	
som	som	som	so	I	L	Somali	
sot	sot	sot	st	I	L	Southern Sotho	
spa	spa	spa	es	I	L	Spanish	
sqi	alb	sqi	sq	M	L	Albanian	
srd	srd	srd	sc	M	L	Sardinian	
srn	srn	srn	  	I	L	Sranan Tongo	
srp	srp	srp	sr	I	L	Serbian	
srr	srr	srr	  	I	L	Serer	
ssw	ssw	ssw	ss	I	L	Swati	
suk	suk	suk	  	I	L	Sukuma	
sun	sun	sun	su	I	L	Sundanese	
sus	sus	sus	  	I	L	Susu	
sux	sux	sux	  	I	A	Sumerian	
swa	swa	swa	sw	M	L	Swahili (macrolanguage)	
swe	swe	swe	sv	I	L	Swedish	
syc	syc	syc	  	I	H	Classical Syriac	
syr	syr	syr	  	M	L	Syriac	
tah	tah	tah	ty	I	L	Tahitian	
tam	tam	tam	ta	I	L	Tamil	
tat	tat	tat	tt	I	L	Tatar	
tel	tel	tel	te	I	L	Telugu	
tem	tem	tem	  	I	L	Timne	
ter	ter	ter	  	I	L	Tereno	
tet	tet	tet	  	I	L	Tetum	
tgk	tgk	tgk	tg	I	L	Tajik	
tgl	tgl	tgl	tl	I	L	Tagalog	
tha	tha	tha	th	I	L	Thai	
tig	tig	tig	  	I	L	Tigre	
tir	tir	tir	ti	I	L	Tigrinya	
tiv	tiv	tiv	  	I	L	Tiv	
tkl	tkl	tkl	  	I	L	Tokelau	
tlh	tlh	tlh	  	I	C	Klingon	
tli	tli	tli	  	I	L	Tlingit	
tmh	tmh	tmh	  	M	L	Tamashek	
tog	tog	tog	  	I	L	Tonga (Nyasa)	
ton	ton	ton	to	I	L	Tonga (Tonga Islands)	
tpi	tpi	tpi	  	I	L	Tok Pisin	
tsi	tsi	tsi	  	I	L	Tsimshian	
tsn	tsn	tsn	tn	I	L	Tswana	
tso	tso	tso	ts	I	L	Tsonga	
tuk	tuk	tuk	tk	I	L	Turkmen	
tum	tum	tum	  	I	L	Tumbuka	
tur	tur	tur	tr	I	L	Turkish	
tvl	tvl	tvl	  	I	L	Tuvalu	
twi	twi	twi	tw	I	L	Twi	
tyv	tyv	tyv	  	I	L	Tuvinian	
udm	udm	udm	  	I	L	Udmurt	
uga	uga	uga	  	I	A	Ugaritic	
uig	uig	uig	ug	I	L	Uighur	
ukr	ukr	ukr	uk	I	L	Ukrainian	
umb	umb	umb	  	I	L	Umbundu	
und	und	und	  	S	S	Undetermined	
urd	urd	urd	ur	I	L	Urdu	
uzb	uzb	uzb	uz	M	L	Uzbek	
vai	vai	vai	  	I	L	Vai	
ven	ven	ven	ve	I	L	Venda	
vie	vie	vie	vi	I	L	Vietnamese	
vol	vol	vol	vo	I	C	Volapük	
vot	vot	vot	  	I	L	Votic	
wal	wal	wal	  	I	L	Wolaytta	
war	war	war	  	I	L	Waray (Philippines)	
was	was	was	  	I	L	Washo	
wln	wln	wln	wa	I	L	Walloon	
wol	wol	wol	wo	I	L	Wolof	
xal	xal	xal	  	I	L	Kalmyk	
xho	xho	xho	xh	I	L	Xhosa	
yao	yao	yao	  	I	L	Yao	
yap	yap	yap	  	I	L	Yapese	
yid	yid	yid	yi	M	L	Yiddish	
yor	yor	yor	yo	I	L	Yoruba	
zap	zap	zap	  	M	L	Zapotec	
zbl	zbl	zbl	  	I	C	Blissymbols	
zen	zen	zen	  	I	L	Zenaga	
zha	zha	zha	za	M	L	Zhuang	
zho	chi	zho	zh	M	L	Chinese	
zul	zul	zul	zu	I	L	Zulu	
zun	zun	zun	  	I	L	Zuni	
zxx	zxx	zxx	  	S	S	No linguistic content	
zza	zza	zza	  	M	L	Zaza	
